TIME,PDCSAP_FLUX
3198.1467776630307,15259.744
3198.167209356143,15261.577
3198.187640948796,15277.367
3198.2080727414505,15266.492
3198.228504434097,15270.23
3198.2489360262844,15271.002
3198.2693678184733,15273.445
3198.2897995104213,15267.201
3198.3102312023766,15262.111
3198.3306628938662,15266.216
3198.3510945853486,15259.814
3198.3715262766054,15267.69
3198.3919579678623,15260.733
3198.412389658879,15265.119
3198.432821449671,15264.288
3198.453253140229,15260.521
3198.4736847307795,15257.502
3198.4941165211058,15263.5205
3198.5145482111984,15267.695
3198.53498,15275.287
3198.555411590911,
3198.575843280538,15274.822
3198.596274869924,15266.287
3198.616706659319,15279.405
3198.637138,15277.056
3198.6575699374007,15279.15
3198.678001726097,15282.525
3198.698433314792,15277.899
3198.7188650032476,15286.881
3198.7392967914784,15279.591
3198.7597283797077,15281.057
3198.7801600676976,15280.046
3198.8005918554627,15281.015
3198.821023542994,15286.759
3198.8414552305185,15285.639
3198.861886917817,15287.394
3198.882318605116,15273.127
3198.9027502919416,15276.874
3198.9231819787747,15273.951
3198.9436136656077,15281.38
3198.9640454519686,15265.527
3198.984477038335,15278.508
3199.0049087244697,15276.4375
3199.0253405105977,15272.586
3199.045772096266,15274.194
3199.0662037821676,15268.763
3199.086635567597,15274.405
3199.1070671530324,15271.157
3199.1274988382356,15281.943
3199.1479306231995,15272.085
3199.168362208169,15282.617
3199.1887939926673,15281.39
3199.209225677405,15274.853
3199.229657261676,15279.788
3199.2500890459487,15283.415
3199.2705207299805,15266.242
3199.2909524140196,15269.716
3199.3113840978185,15270.788
3199.331815781392,15270.472
3199.3522474647325,15265.085
3199.372679148073,15277.574
3199.3931108311735,15271.418
3199.4135424140477,15272.897
3199.433974196916,15263.993
3199.454405879558,15262.414
3199.4748374621995,15267.729
3199.4952692443767,15273.249
3199.515700926546,15277.631
3199.5361325087215,
3199.5565642904257,15276.694
3199.5769959721365,15272.524
3199.597427753615,15280.799
3199.617859335085,15271.195
3199.638291,15276.669
3199.658722797343,15271.125
3199.6791543783474,15267.712
3199.699586059127,15283.286
3199.7200178396743,15279.725
3199.740449420213,15272.922
3199.7608811005266,15281.095
3199.7813128806083,15273.182
3199.801744560682,15271.672
3199.8221761405293,15282.027
3199.8426079201454,15275.824
3199.8630395997534,15267.271
3199.883471179135,15271.829
3199.9039029582855,15277.942
3199.924334637428,15270.333
3199.944766216344,15276.395
3199.9651979950286,15275.796
3199.9856296737053,15273.809
3200.006061452157,15286.007
3200.0264930306075,
3200.0469247085857,15275.6455
3200.067356386571,15283.106
3200.0877880645567,15282.679
3200.108219742302,15280.087
3200.1286515198226,15287.854
3200.149083097109,15276.122
3200.1695147743885,15276.546
3200.1899464514427,15276.131
3200.210378128497,15276.031
3200.230809805311,15270.16
3200.2512414818993,15277.661
3200.271673158488,15271.215
3200.292104834836,15275.494
3200.312537,15285.353
3200.332968187082,15276.602
3200.3533999629653,15282.988
3200.3738316388553,15271.748
3200.394263214279,15276.373
3200.4146949899296,15275.118
3200.435126665121,15273.608
3200.455558240312,15265.498
3200.475990015264,15289.357
3200.4964216902226,15261.323
3200.5168532649477,
3200.537285039434,15278.579
3200.557716713927,15285.245
3200.5781482881866,15283.792
3200.5985800624403,15295.477
3200.619011736235,15303.606
3200.639443410255,15298.366
3200.6598750838166,15319.254
3200.6803067573783,15305.449
3200.700738,15294.644
3200.7211701040287,15294.768
3200.7416017771247,15284.42
3200.7620335502143,15288.171
3200.7824652230775,15284.7705
3200.802896795707,15284.246
3200.823328568331,15278.691
3200.8437602407284,15286.206
3200.8641918128924,15281.004
3200.8846235850506,15277.82
3200.9050551569817,15286.947
3200.9254868289136,15279.259
3200.945918600606,15276.846
3200.9663501720715,15291.05
3200.9867818435378,15278.238
3201.0072136147646,15285.671
3201.0276451857644,15276.838
3201.048076856765,15278.369
