TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3157.875330735944,0.005472316,149212,12992.002,3.9538064,1864.9196,0.6839637,15280.424,4.76559,0,,,,,967.6504698283098,0.00048887986,785.318362883465,0.00038556868,-0.3694127,-0.07347598
3157.8957632210295,0.005471101,149213,12975.754,3.9504824,1863.265,0.6835043,15277.398,4.7618403,0,,,,,967.6229438143423,0.0004912018,785.3178246117884,0.0003856292,-0.3945297,-0.07519985
3157.9161956061216,0.005469886,149214,12959.073,3.9477575,1863.3937,0.68290895,15276.326,4.756478,0,,,,,967.5980117858421,0.0004929595,785.316001049735,0.00038551402,-0.4173792,-0.07696698
3157.936627990741,0.0054686707,149215,12947.659,3.9486406,1867.2426,0.67969996,15281.411,4.7558193,0,,,,,967.5731231015427,0.0004953691,785.3145164214291,0.00038568393,-0.4403982,-0.07917754
3157.9570603749016,0.005467455,149216,12914.222,3.9441895,1866.473,0.68267506,15245.208,4.743123,0,,,,,967.5472702563437,0.00049849495,785.3126210601855,0.00038631342,-0.4634831,-0.08106223
3157.977492758131,0.005466238,149217,12901.569,3.9446785,1863.8992,0.68443054,15269.701,4.7410593,0,,,,,967.5216370212986,0.000500288,785.3112713732406,0.00038586048,-0.48758292,-0.083477266
3157.997925241354,0.0054650214,149218,12881.912,3.944409,1862.8962,0.6888674,15274.044,4.734331,0,,,,,967.4983321775567,0.000502618,785.3088362838686,0.00038589365,-0.50921047,-0.085591316
3158.0183575236515,0.0054638037,149219,12855.902,3.9404626,1866.6593,0.6898237,15265.153,4.719479,0,,,,,967.4729216999865,0.0005058127,785.308014922216,0.00038643213,-0.53066397,-0.08516693
3158.038789905484,0.0054625855,149220,12829.946,3.9401822,1862.6531,0.6883326,15266.401,4.7020764,0,,,,,967.4460187214208,0.0005081755,785.306478487311,0.00038604875,-0.556384,-0.08681185
3158.0592223868443,0.005461367,149221,12798.416,3.9349265,1866.2598,0.68456703,15263.751,4.6718745,0,,,,,967.4185828073857,0.0005116469,785.3043653440734,0.0003865137,-0.5805856,-0.08975465
3158.0796546682104,0.005460148,149222,12772.86,3.9340298,1863.9772,0.68346155,15267.456,4.6392317,32768,,,,,967.3933540663887,0.00051411026,785.3027838323151,0.00038636298,-0.606337,-0.09216647
3158.100087048646,0.0054589286,149223,13067.07,3.958455,1863.5897,0.68498814,,,1048576,,,,,967.8545130063669,0.00047835556,785.3416666062452,0.00038489554,-0.14747943,-0.04725865
3158.1205195286093,0.0054577086,149224,13147.97,3.966251,1863.0123,0.6865302,15292.219,4.77581,0,,,,,967.9353295496272,0.00047354028,785.347165205538,0.00038425092,-0.0793641,-0.03763288
3158.140951807647,0.0054564876,149225,13137.516,3.9671907,1861.6166,0.68888307,15282.928,4.77861,0,,,,,967.9116816744626,0.00047428915,785.3460274610995,0.00038437947,-0.105714284,-0.040530186
3158.1613841866856,0.0054552667,149226,13130.506,3.9640086,1862.6649,0.6838865,15280.684,4.7762604,0,,,,,967.8854655805112,0.00047520993,785.3440007995846,0.00038452834,-0.13303438,-0.043855038
3158.181816665252,0.0054540453,149227,13123.992,3.9656284,1862.1997,0.6873518,15276.525,4.7795744,0,,,,,967.861191662837,0.00047607068,785.3414856189021,0.0003845622,-0.15953602,-0.04631812
3158.2022489433584,0.0054528234,149228,13128.929,3.9630284,1863.9725,0.68313634,15291.222,4.777645,0,,,,,967.8370679359896,0.0004769972,785.3395230113363,0.00038462432,-0.18516931,-0.048673846
3158.2226813205343,0.0054516005,149229,13106.499,3.959892,1863.947,0.6817727,15274.744,4.7746153,0,,,,,967.80913259254,0.00047861013,785.3373389514255,0.00038506402,-0.21191308,-0.050620493
3158.2431137977037,0.0054503777,149230,13109.423,3.9632149,1860.5842,0.6847175,15282.601,4.7789445,0,,,,,967.7883440829663,0.00047899375,785.3355012213063,0.00038448372,-0.233255,-0.053419776
3158.2635460739475,0.005449154,149231,13099.327,3.962994,1864.2682,0.68536156,15278.659,4.7789087,0,,,,,967.7683821529648,0.00048033684,785.3336398373974,0.00038464606,-0.254465,-0.05543197
3158.283978549727,0.0054479297,149232,13097.77,3.9624634,1866.2314,0.6831326,15286.882,4.7790203,0,,,,,967.7472761083841,0.00048119714,785.3321815986538,0.00038450377,-0.2741664,-0.057595473
3158.304410925033,0.005446705,149233,13083.774,3.9600344,1865.4618,0.6821685,15281.846,4.776233,0,,,,,967.7250828086937,0.00048294637,785.3301943090936,0.0003847827,-0.29534495,-0.05968776
3158.3248433003464,0.0054454803,149234,13071.822,3.956442,1863.7814,0.6813485,15286.086,4.771684,0,,,,,967.7014779792598,0.00048420182,785.3274326202279,0.00038461003,-0.31979892,-0.062657595
3158.3452756747283,0.0054442547,149235,,,,,,,1081376,,,,,,,,,,
3158.3657080486373,0.0054430286,149236,13107.664,3.9629734,1864.8115,0.682132,15286.024,4.7797165,0,,,,,967.7575546843898,0.00048069117,785.3331691441201,0.0003845324,-0.2636592,-0.055830177
3158.3861404216223,0.0054418016,149237,13100.088,3.962657,1864.8849,0.68310016,15281.21,4.779793,0,,,,,967.7433182114828,0.00048180274,785.3320909824781,0.00038474536,-0.27700248,-0.056730293
3158.406572794607,0.0054405746,149238,13100.74,3.9632356,1860.63,0.68791497,15288.13,4.7809353,0,,,,,967.7291264391254,0.00048198793,785.3317106829392,0.00038418468,-0.29158837,-0.05838399
3158.427005167119,0.005439347,149239,13093.24,3.9606812,1865.1864,0.68177396,15287.682,4.777821,0,,,,,967.7168399709562,0.0004829938,785.3299278684665,0.00038436803,-0.30482116,-0.059488904
3158.447437539173,0.005438119,149240,13079.331,3.95794,1865.003,0.6863399,15282.742,4.7744675,0,,,,,967.7007104609547,0.00048430238,785.3281324036767,0.0003845874,-0.32143927,-0.061668884
3158.467869910295,0.0054368903,149241,13078.473,3.9577997,1863.2686,0.6870862,15286.831,4.774515,0,,,,,967.6864744908914,0.00048500023,785.3276840049741,0.0003843503,-0.33427787,-0.061444663
3158.48830228141,0.0054356614,149242,13065.843,3.9596028,1864.2264,0.6815595,15280.64,4.7763987,0,,,,,967.6694310439875,0.00048695345,785.3268534408996,0.0003848708,-0.35006803,-0.062188666
3158.508734651601,0.0054344316,149243,13051.715,3.9583418,1864.8,0.6823911,15275.977,4.7743616,8192,,,,,967.6530085832217,0.00048796996,785.3241247130741,0.0003848629,-0.36664715,-0.06527441
3158.529167021792,0.005433202,149244,13043.782,3.9577608,1864.6953,0.6824306,15278.253,4.7732644,0,,,,,967.6314187223072,0.00048967154,785.3235213223606,0.00038491684,-0.38474658,-0.0664301
3158.5495993910445,0.005431971,149245,13020.807,3.9546957,1865.1816,0.6842155,15265.88,4.7690797,0,,,,,967.6125909957509,0.000491382,785.3219346939516,0.0003850615,-0.40346536,-0.06847106
3158.5700316598377,0.00543074,149246,13007.942,3.9517107,1865.2432,0.6827034,15272.572,4.7636704,0,,,,,967.5900920211052,0.0004931942,785.3204046369708,0.0003850518,-0.42438516,-0.0708259
3158.590464128167,0.005429508,149247,13102.904,3.96286,1864.964,0.68210083,,,1048576,,,,,967.7588478347341,0.0004810907,785.3347060418384,0.0003847377,-0.2598065,-0.054106243
3158.610896496022,0.005428276,149248,13134.06,3.9654298,1862.7178,0.68453157,15283.237,4.783322,0,,,,,967.7834450845378,0.00047912193,785.337327637646,0.00038434085,-0.23811069,-0.050601784
3158.6313287634184,0.0054270434,149249,13133.617,3.9659657,1865.1757,0.68717366,15292.65,4.7849207,0,,,,,967.7649743739228,0.00047989504,785.3359656355371,0.00038417368,-0.25688937,-0.053073805
